Date;PV;reversalCount;oscillationCount
01-Oct-2019 09:06:00;4836.808594;4;8
01-Oct-2019 09:07:00;4860.651855;2;8
01-Oct-2019 09:08:00;4807.253906;3;10
01-Oct-2019 09:09:00;4832.97168;3;10
01-Oct-2019 09:10:00;4762.448242;10;6
01-Oct-2019 09:11:00;4886.508301;5;7
01-Oct-2019 09:12:00;4846.582031;10;6
01-Oct-2019 09:13:00;4679.089355;4;0
01-Oct-2019 09:14:00;4831.709473;5;1
01-Oct-2019 09:15:00;4716.82373;1;7
01-Oct-2019 09:16:00;4788.209961;6;5
01-Oct-2019 09:17:00;4798.40625;10;3
01-Oct-2019 09:18:00;4902.548828;0;9
01-Oct-2019 09:19:00;4872.655762;7;3
01-Oct-2019 09:20:00;4807.196289;7;1
01-Oct-2019 09:21:00;4820.649902;10;0
01-Oct-2019 09:22:00;4791.753906;10;7
01-Oct-2019 09:23:00;4900.247559;10;6
01-Oct-2019 09:24:00;4847.936035;5;6
01-Oct-2019 09:25:00;5004.572754;5;5
01-Oct-2019 09:26:00;4937.663574;0;5
01-Oct-2019 09:27:00;4874.630371;6;2
01-Oct-2019 09:28:00;4903.593262;4;3
01-Oct-2019 09:29:00;4819.337891;6;4
01-Oct-2019 09:30:00;4876.016602;1;8
01-Oct-2019 09:31:00;4881.944824;0;6
01-Oct-2019 09:32:00;4914.692871;10;1
01-Oct-2019 09:33:00;4807.573242;1;9
01-Oct-2019 09:34:00;4926.487793;1;7
01-Oct-2019 09:35:00;4948.915527;1;6
01-Oct-2019 09:36:00;4944.028809;4;8
01-Oct-2019 09:37:00;4914.262207;3;2
01-Oct-2019 09:38:00;4824.207031;8;4
01-Oct-2019 09:39:00;4919.418457;2;0
01-Oct-2019 09:40:00;4940.804199;9;1
01-Oct-2019 09:41:00;4952.505859;10;9
01-Oct-2019 09:42:00;4881.276367;6;1
01-Oct-2019 09:43:00;4936.424805;8;9
01-Oct-2019 09:44:00;4953.39209;7;4
01-Oct-2019 09:45:00;4907.046875;4;1
01-Oct-2019 09:46:00;4967.603516;5;10
01-Oct-2019 09:47:00;4995.77002;1;9
01-Oct-2019 09:48:00;4881.632324;3;2
01-Oct-2019 09:49:00;4863.250977;1;8
01-Oct-2019 09:50:00;4858.199707;4;7
01-Oct-2019 09:51:00;4794.469238;4;8
01-Oct-2019 09:52:00;4727.019043;5;10
01-Oct-2019 09:53:00;4803.769531;10;4
01-Oct-2019 09:54:00;4899.076172;3;1
01-Oct-2019 09:55:00;4901.082031;4;10
01-Oct-2019 09:56:00;4912.09375;9;9
01-Oct-2019 09:57:00;4851.063965;6;8
01-Oct-2019 09:58:00;4909.495117;5;5
01-Oct-2019 09:59:00;4816.026855;0;0
01-Oct-2019 10:00:00;4816.775391;8;3
01-Oct-2019 10:01:00;4884.119141;5;0
01-Oct-2019 10:02:00;4853.035645;1;2
01-Oct-2019 10:03:00;4892.87793;1;0
01-Oct-2019 10:04:00;4855.081543;3;2
01-Oct-2019 10:05:00;4771.103516;9;6
01-Oct-2019 10:06:00;4727.589355;8;2
01-Oct-2019 10:07:00;4745.138672;9;0
01-Oct-2019 10:08:00;4849.725586;10;7
01-Oct-2019 10:09:00;4752.200684;8;1
01-Oct-2019 10:10:00;4805.001953;8;3
01-Oct-2019 10:11:00;4866.623047;2;10
01-Oct-2019 10:12:00;4758.137207;7;8
01-Oct-2019 10:13:00;4750.51123;5;6
01-Oct-2019 10:14:00;4766.077148;8;0
01-Oct-2019 10:15:00;4764.905273;3;3
01-Oct-2019 10:16:00;4761.84668;1;4
01-Oct-2019 10:17:00;4780.878418;9;4
01-Oct-2019 10:18:00;4728.96875;6;2
01-Oct-2019 10:19:00;4779.054688;9;9
01-Oct-2019 10:20:00;4724.929688;7;2
01-Oct-2019 10:21:00;4773.608398;7;9
01-Oct-2019 10:22:00;4754.380859;9;9
01-Oct-2019 10:23:00;4805.866699;2;9
01-Oct-2019 10:24:00;4862.165039;7;0
01-Oct-2019 10:25:00;4726.865234;6;5
01-Oct-2019 10:26:00;4819.025879;0;7
01-Oct-2019 10:27:00;4784.253418;8;10
01-Oct-2019 10:28:00;4709.259766;10;5
01-Oct-2019 10:29:00;4781.018555;3;8
01-Oct-2019 10:30:00;4863.205078;7;9
01-Oct-2019 10:31:00;4748.496582;7;3
01-Oct-2019 10:32:00;4719.762695;3;9
01-Oct-2019 10:33:00;4810.780762;3;0
01-Oct-2019 10:34:00;4679.536133;1;2
01-Oct-2019 10:35:00;4710.469238;10;4
01-Oct-2019 10:36:00;4816.57666;8;0
01-Oct-2019 10:37:00;4734.82959;9;7
01-Oct-2019 10:38:00;4773.616699;1;3
01-Oct-2019 10:39:00;4799.006348;1;10
01-Oct-2019 10:40:00;4740.841309;9;4
01-Oct-2019 10:41:00;4636.572266;3;10
01-Oct-2019 10:42:00;4816.010254;4;0
01-Oct-2019 10:43:00;4747.79248;8;0
01-Oct-2019 10:44:00;4780.376953;7;1
